name,artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,sentiment,mood
this is what falling in love feels like,JVKE,2PWTZV5znjLtZC5T1EVJvL,0.422,0.44,-5.53,0.0544,0.617,0.0,0.0837,128.934,0.332,0.9966,Calm
As It Was,Harry Styles,4Dvkj6JhhA12EX05fT7y2e,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,173.93,0.662,0.8746,Calm
Don't Worry Be Happy,Bobby McFerrin,4hObp5bmIJ3PP3cKA9K9GY,0.675,0.166,-22.602,0.171,0.88,7.14e-05,0.0461,68.837,0.747,0.789,Calm
New Light,John Mayer,4T6FWA703h6H7zk1FoSARw,0.826,0.694,-7.862,0.0315,0.316,0.0285,0.074,123.932,0.852,0.9944,Calm
Best Friend,Rex Orange County,3rPtS4nfpy7PsARctAWpzd,0.576,0.714,-5.247,0.0595,0.395,0.0,0.115,144.981,0.321,0.9994,Calm
Three Little Birds,Bob Marley & The Wailers,7yFvSYKk3g5g8e7Ffl16ws,0.826,0.49,-10.477,0.0676,0.00916,4.41e-06,0.0415,74.128,0.627,0.9927,Calm
Hell N Back,Bakar,0rVJ6v23RQozOIvr1YotJP,0.633,0.684,-4.314,0.591,0.314,8.95e-05,0.112,209.688,0.725,0.8484,Calm
double take,Dhruv,0QzuaeCEEOV40Pn7IvKEny,0.656,0.436,-11.141,0.0744,0.845,0.0,0.221,109.239,0.196,0.9987,Calm
I.F.L.Y.,Bazzi,4a6q8CR2hzLk2plDkSxkfD,0.812,0.519,-4.823,0.0385,0.379,0.0,0.13,104.954,0.554,0.9994,Calm
Better Together,Jack Johnson,2iXdwVdzA0KrI2Q0iZNJbX,0.871,0.346,-9.481,0.0522,0.298,9.24e-06,0.108,110.054,0.659,0.9977,Calm
Brazil,Declan McKenna,4sNG6zQBmtq7M8aeeKJRMQ,0.687,0.617,-5.213,0.0287,0.0941,1.27e-05,0.0898,121.079,0.665,0.9986,Calm
Borderline,Tame Impala,5hM5arv9KDbCHS0k9uqwjr,0.621,0.873,-3.067,0.0369,0.0406,9.1e-06,0.0824,97.96,0.873,0.9936,Calm
Cigarette Daydreams,Cage The Elephant,2tznHmp70DxMyr2XhWLOW0,0.636,0.676,-3.442,0.0263,0.0807,0.0,0.0831,113.98,0.273,0.9596,Calm
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0RiRZpuVRbi7oqRdSMwhQY,0.755,0.522,-4.368,0.0575,0.533,0.0,0.0685,89.96,0.925,-0.5574,Calm
Ophelia,The Lumineers,5NORWMFC27ywGSZxi8uquP,0.664,0.573,-6.519,0.0277,0.613,0.000363,0.0857,76.023,0.566,0.9934,Calm
