name,artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,sentiment,mood
Unwritten,Natasha Bedingfield,3U5JVgI2x4rDyHGObzJfNf,0.706,0.8,-6.333,0.0399,0.00584,0.0,0.0822,100.011,0.629,-0.973,Happy
Walking On Sunshine,Katrina & The Waves,05wIrZSwuaVWhcv5FfqeH0,0.596,0.869,-11.97,0.037,0.0116,0.173,0.0678,109.902,0.944,0.996,Happy
"Hey, Soul Sister",Train,4HlFJV71xXKIGcU3kRyttv,0.673,0.886,-4.44,0.0431,0.185,0.0,0.0826,97.012,0.795,0.9678,Happy
I'm Yours,Jason Mraz,3S0OXQeoh0w6AY8WQVckRW,0.703,0.444,-9.331,0.0417,0.559,0.0,0.0973,150.96,0.712,0.9992,Happy
Sunroof,Nicky Youre,5YqEzk3C5c3UZ1D5fJUlXA,0.768,0.714,-5.11,0.0401,0.352,0.0,0.15,131.443,0.842,0.9727,Happy
Lovely Day,Bill Withers,0bRXwKfigvpKZUurwqAlEh,0.692,0.651,-8.267,0.0324,0.292,0.00241,0.105,97.923,0.706,0.9999,Happy
Cake By The Ocean,DNCE,76hfruVvmfQbw0eYn1nmeC,0.774,0.753,-5.446,0.0517,0.152,0.0,0.0371,119.002,0.896,-0.7545,Happy
Counting Stars,OneRepublic,2tpWsVSb9UEmDRxAl1zhX1,0.664,0.705,-4.972,0.0382,0.0654,0.0,0.118,122.016,0.477,-0.9819,Happy
Classic,MKTO,6FE2iI43OZnszFLuLtvvmg,0.72,0.791,-4.689,0.124,0.0384,0.0,0.157,102.071,0.756,0.998,Happy
Three Little Birds,Bob Marley & The Wailers,7yFvSYKk3g5g8e7Ffl16ws,0.826,0.49,-10.477,0.0676,0.00916,4.41e-06,0.0415,74.128,0.627,0.9927,Happy
Uptown Girl,Billy Joel,5zA8vzDGqPl2AzZkEYQGKh,0.701,0.944,-2.986,0.0455,0.0755,0.0,0.601,128.993,0.792,0.9932,Happy
Mr. Blue Sky,Electric Light Orchestra,2RlgNHKcydI9sayD2Df2xp,0.388,0.338,-10.054,0.0329,0.652,3.73e-06,0.248,177.765,0.478,0.9794,Happy
Murder On The Dancefloor,Sophie Ellis-Bextor,4tKGFmENO69tZR9ahgZu48,0.73,0.849,-5.281,0.0299,0.00234,2.6e-05,0.312,117.31,0.887,-0.8429,Happy
"Happy - From ""Despicable Me 2""",Pharrell Williams,60nZcImufyMA1MKQY3dcCH,0.647,0.822,-4.662,0.183,0.219,0.0,0.0908,160.019,0.962,0.0,Happy
Rich Girl,Daryl Hall & John Oates,0qRR9d89hIS0MHRkQ0ejxX,0.573,0.683,-6.644,0.176,0.461,0.0,0.0935,169.519,0.817,0.9811,Happy
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,5bcTCxgc7xVfSaMV3RuVke,0.893,0.745,-3.105,0.0571,0.0642,0.0,0.0943,101.018,0.872,0.9082,Happy
Feather,Sabrina Carpenter,2Zo1PcszsT9WQ0ANntJbID,0.787,0.686,-4.37,0.0339,0.0893,0.0,0.0927,123.51,0.836,0.9627,Happy
Grace Kelly,MIKA,2SDx0PooHZI1SQKR0y44bs,0.675,0.828,-5.799,0.0454,0.0242,0.0102,0.364,122.229,0.669,0.9896,Happy
Here Comes The Sun - Remastered 2009,The Beatles,6dGnYIeXmHdcikdzNNDMm2,0.557,0.54,-10.484,0.0347,0.0339,0.00248,0.179,129.171,0.394,1.0,Happy
Cecilia,Simon & Garfunkel,6QhXQOpyYvbpdbyjgAqKdY,0.755,0.876,-8.867,0.0362,0.357,5.17e-06,0.22,102.762,0.954,0.9864,Happy
Happy Together,The Turtles,1JO1xLtVc8mWhIoE3YaCL0,0.584,0.367,-9.638,0.0328,0.55,1.38e-05,0.0818,120.175,0.588,0.9968,Happy
Safe And Sound,Capital Cities,6Z8R6UsFuGXGtiIxiD8ISb,0.655,0.819,-4.852,0.0316,0.000176,0.00374,0.104,117.956,0.766,0.9969,Happy
What A Man Gotta Do,Jonas Brothers,4wNIkl5XGiAACjFBlDWuSd,0.852,0.698,-7.206,0.0629,0.00839,1.03e-06,0.0773,113.039,0.324,0.9731,Happy
The Thrill,Wiz Khalifa,56oGoEjA9eTZYgsttEFKY3,0.817,0.775,-4.767,0.108,0.277,0.0,0.108,126.984,0.806,-0.9612,Happy
Galway Girl,Ed Sheeran,0afhq8XCExXpqazXczTSve,0.624,0.876,-3.374,0.1,0.0735,0.0,0.327,99.943,0.781,0.9992,Happy
You Make My Dreams (Come True),Daryl Hall & John Oates,4o6BgsqLIBViaGVbx5rbRk,0.751,0.501,-12.151,0.0551,0.234,0.112,0.0467,167.057,0.902,0.9991,Happy
Walking On A Dream,Empire Of The Sun,3HfhB8sYqLlVmpBPb7cc2x,0.87,0.699,-5.541,0.0459,0.245,6.76e-06,0.0588,126.967,0.726,0.9298,Happy
Don't Go Breaking My Heart,Elton John,7HW5WIw7ZgZORCzUxv5gW5,0.729,0.844,-8.824,0.0344,0.149,2.87e-06,0.0604,131.459,0.777,0.2293,Happy
Wake Me Up Before You Go-Go,Wham!,0ikz6tENMONtK6qGkOrU3c,0.62,0.573,-11.893,0.0423,0.271,0.0,0.0607,81.548,0.897,0.9923,Happy
Love Never Felt So Good,Michael Jackson,48td6xvpokdYwvbl3JIiXP,0.775,0.719,-6.212,0.0435,0.132,1.79e-06,0.0662,117.513,0.712,0.9979,Happy
It's Not Unusual,Tom Jones,3TlIt0ReIxPsVZcOEivT5U,0.476,0.722,-10.017,0.0646,0.598,0.0,0.184,92.966,0.909,-0.9506,Happy
Send Me On My Way,Rusted Root,6XK6Zw6JkFsHXzAcMWNiIr,0.5,0.704,-8.797,0.0695,0.125,1.79e-05,0.138,119.463,0.722,0.9973,Happy
Iko Iko (My Bestie),Justin Wellington,7MC4XR9M9amdmKQr2iDF7i,0.862,0.753,-5.356,0.0625,0.131,2.01e-06,0.077,105.039,0.827,0.935,Happy
Girls Just Want to Have Fun,Cyndi Lauper,4y1LsJpmMti1PfRQV9AWWe,0.71,0.799,-4.897,0.0328,0.22,0.000602,0.349,120.372,0.725,0.9984,Happy
Runaway Baby,Bruno Mars,7hCNBVRhHzcsRAv0TQnOzq,0.658,0.762,-3.028,0.0425,0.263,0.0,0.127,163.864,0.823,0.9984,Happy
Cheerleader (Felix Jaehn Remix) - Radio Edit,OMI,7vFoFDWqTX0mHzLfrF1Cfy,0.782,0.685,-6.237,0.0309,0.166,1.18e-05,0.16,118.016,0.603,0.9951,Happy
I'm Gonna Be (500 Miles),The Proclaimers,67iAlVNDDdddxqSD2EZhFs,0.851,0.551,-5.177,0.0396,0.151,0.0,0.0827,131.922,0.807,0.9568,Happy
As It Was,Harry Styles,4Dvkj6JhhA12EX05fT7y2e,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,173.93,0.662,0.8746,Happy
Don't Worry Be Happy,Bobby McFerrin,4hObp5bmIJ3PP3cKA9K9GY,0.675,0.166,-22.602,0.171,0.88,7.14e-05,0.0461,68.837,0.747,0.789,Happy
Good Life,OneRepublic,6OtCIsQZ64Vs1EbzztvAv4,0.634,0.69,-7.804,0.052,0.0771,0.0,0.132,94.988,0.645,0.9983,Happy
GOOD DAY,Forrest Frank,5KXXi90Q4pjVxEapZjRC9O,0.712,0.682,-6.968,0.144,0.061,0.0,0.145,76.033,0.716,0.9959,Happy
3 Nights,Dominic Fike,0uI7yAKUf52Cn7y3sYyjiX,0.815,0.518,-6.594,0.0897,0.223,0.0,0.104,151.891,0.877,0.1483,Happy
Drops of Jupiter (Tell Me),Train,2hKdd3qO7cWr2Jo0Bcs0MA,0.481,0.638,-5.862,0.0276,0.153,0.0,0.154,79.064,0.497,0.9928,Happy
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,7pYfyrMNPn3wtoCyqcTVoI,0.722,0.761,-4.459,0.0475,0.0117,0.0,0.315,128.044,0.624,0.9999,Happy
Blurred Lines,Robin Thicke,0n4bITAu0Y0nigrz3MFJMb,0.853,0.599,-4.756,0.0411,0.00334,7.93e-06,0.0759,119.993,0.843,0.9565,Happy
Skate,Bruno Mars,7jvCeWOSnJs2N3spqobWnO,0.708,0.598,-8.365,0.0291,0.037,0.0,0.17,112.027,0.698,0.8857,Happy
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,2tUBqZG2AbRi7Q0BIrVrEj,0.709,0.824,-8.824,0.0453,0.207,0.000307,0.0888,118.818,0.867,0.9977,Happy
I'm A Believer,Smash Mouth,0C9jZPUv4SuaXkuEQw6L40,0.549,0.981,-3.558,0.059,0.0178,1.8e-06,0.438,82.331,0.873,0.9937,Happy
Move Your Feet,Junior Senior,4jacsL77ZYnpInmTtUBaJW,0.755,0.895,-2.619,0.0883,0.0507,0.0737,0.222,118.871,0.844,0.9967,Happy
Sugar (feat. Francesco Yates),Robin Schulz,5tf1VVWniHgryyumXyJM7w,0.636,0.815,-5.098,0.0581,0.0185,0.0,0.163,123.063,0.636,0.9888,Happy
What You Know,Two Door Cinema Club,3GBApU0NuzH4hKZq4NOSdA,0.563,0.739,-4.239,0.0416,0.00073,1.45e-05,0.0822,139.0,0.775,-0.7106,Happy
The Less I Know The Better,Tame Impala,6K4t31amVTZDgR3sKmwUJJ,0.64,0.74,-4.083,0.0284,0.0115,0.00678,0.167,116.879,0.785,0.9806,Happy
Brazil,Declan McKenna,4sNG6zQBmtq7M8aeeKJRMQ,0.687,0.617,-5.213,0.0287,0.0941,1.27e-05,0.0898,121.079,0.665,0.9986,Happy
Cigarette Daydreams,Cage The Elephant,2tznHmp70DxMyr2XhWLOW0,0.636,0.676,-3.442,0.0263,0.0807,0.0,0.0831,113.98,0.273,0.9596,Happy
Blame Brett,The Beaches,6twjuBZfRJIZnoHrghzWLk,0.472,0.867,-3.159,0.0409,0.0063,4.56e-06,0.326,155.996,0.792,0.9806,Happy
Are You Bored Yet? (feat. Clairo),Wallows,57RA3JGafJm5zRtKJiKPIm,0.682,0.683,-6.444,0.0287,0.156,2.32e-05,0.273,120.023,0.64,-0.9981,Happy
Can I Call You Tonight?,Dayglow,61OJxhoY3Ix50rYVKo8zRK,0.641,0.842,-7.27,0.0292,0.134,0.911,0.419,129.978,0.499,0.9398,Happy
My Type,Saint Motel,2DFi8rwHcVkTTgu7PULhtI,0.596,0.897,-2.94,0.0462,0.0641,5.24e-05,0.0628,118.0,0.578,0.7759,Happy
Talk Too Much,COIN,4djIFfof5TpbSGRZUpsTXq,0.598,0.888,-5.119,0.0807,0.00947,0.0,0.347,103.966,0.482,0.7882,Happy
Pumped Up Kicks,Foster The People,7w87IxuO7BDcJ3YUqCyMTT,0.733,0.71,-5.849,0.0292,0.145,0.115,0.0956,127.975,0.965,0.9987,Happy
Alright,Supergrass,5CQvKyzkWI7TnUu2oB9QZ0,0.467,0.958,-4.808,0.0775,0.000479,0.199,0.299,145.92,0.701,0.9916,Happy
Undercover Martyn,Two Door Cinema Club,0bePGTDjn0XuEKoN7rOMvV,0.454,0.873,-5.072,0.122,0.000244,1.73e-05,0.0847,159.814,0.562,-0.8834,Happy
