name,artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,sentiment,mood
Gold on the Ceiling,The Black Keys,5lN1EH25gdiqT1SFALMAq1,0.505,0.833,-4.632,0.0475,0.00772,7.9e-05,0.069,130.121,0.565,0.9064,Excited
Know Your Enemy,Rage Against The Machine,1XTGyfJeMiZXrZ1W3NolcB,0.575,0.857,-3.961,0.155,0.0125,0.00229,0.145,117.413,0.623,-0.9956,Excited
Kingslayer (feat. BABYMETAL),Bring Me The Horizon,7CAbF0By0Fpnbiu6Xn5ZF7,0.434,0.929,-2.749,0.147,0.000207,0.00109,0.0916,92.541,0.428,-0.9917,Excited
Savior,Rise Against,1vcxF91pWs9uNwDROuiCPB,0.554,0.932,-3.424,0.0485,0.00154,0.000142,0.425,112.49,0.478,0.9823,Excited
Uprising,Muse,4VqPOruhp5EdPBeR92t6lQ,0.602,0.905,-4.046,0.0775,0.000202,0.064,0.117,128.019,0.411,-0.983,Excited
Believer,Imagine Dragons,0pqnGHJpmpxLKifKRmU6WP,0.776,0.78,-4.374,0.128,0.0622,0.0,0.081,124.949,0.666,-0.9936,Excited
"Dance, Dance",Fall Out Boy,0a7BloCiNzLDD9qSQHh5m7,0.622,0.961,-3.198,0.154,0.00523,0.0,0.0854,114.452,0.449,0.9935,Excited
This fffire - New Version,Franz Ferdinand,46gSk82duJtX3TTA182ruG,0.442,0.887,-5.943,0.1,0.0259,4.57e-06,0.0655,146.358,0.637,0.7761,Excited
Monster,Skillet,2UREu1Y8CO4jXkbvqAtP7g,0.64,0.957,-2.336,0.0741,0.0431,0.0,0.0789,134.992,0.692,0.982,Excited
Misery Business,Paramore,6SpLc7EXZIPpy0sVko0aoU,0.517,0.906,-3.677,0.0735,0.00272,9.26e-06,0.113,172.977,0.731,0.9976,Excited
Feel Good Inc.,Gorillaz,0d28khcov6AiegSCpG5TuT,0.818,0.705,-6.679,0.177,0.00836,0.00233,0.613,138.559,0.772,0.9982,Excited
Dragula,Rob Zombie,6Nm8h73ycDG2saCnZV8poF,0.591,0.963,-6.489,0.0531,8.74e-05,0.000107,0.0781,125.03,0.609,-0.996,Excited
Legend,The Score,3SWqGa1J0M7hSBUDM0KePD,0.601,0.757,-3.341,0.028,0.0139,8.85e-05,0.0727,82.001,0.462,-0.9946,Excited
LosT,Bring Me The Horizon,5BgnL6gHauuvxe4Ok6W1aC,0.396,0.939,-3.155,0.227,0.000285,0.0,0.212,185.081,0.39,-0.999,Excited
Killing In The Name,Rage Against The Machine,59WN2psjkt1tyaxjspN8fp,0.466,0.833,-4.215,0.304,0.0266,0.0,0.0327,88.785,0.661,-0.9993,Excited
Victorious,Panic! At The Disco,6od5hFv9IT5JHc7NEF9HRv,0.57,0.865,-4.518,0.0472,0.00205,0.0,0.404,110.01,0.691,0.9947,Excited
Natural,Imagine Dragons,2FY7b99s15jUprqC0M5NCT,0.704,0.611,-6.112,0.0409,0.217,0.0,0.0812,100.0,0.22,0.9854,Excited
HONEY (ARE U COMING?),Måneskin,5UHHuxxYFnuE5KBbpl4Hzu,0.476,0.94,-2.349,0.0806,0.00196,1.45e-06,0.141,139.987,0.372,0.9969,Excited
Higher Ground - Remastered 2003,Red Hot Chili Peppers,5arVt2Wg0zbiWwAOZef2Nl,0.476,0.979,-3.506,0.132,0.0014,0.00729,0.0944,140.404,0.416,-0.9987,Excited
We Got the Moves,Electric Callboy,0W4N0KzHKWQp2Wn1Mf6uMa,0.587,0.781,-7.602,0.055,0.000116,2.02e-05,0.102,149.982,0.723,0.9962,Excited
Dancing Shoes,Arctic Monkeys,0hAMkY2kwdXPPDfQ1e3BmJ,0.522,0.889,-4.137,0.0461,0.00328,0.0,0.345,144.499,0.852,0.9893,Excited
Hold Me Like a Grudge,Fall Out Boy,7LJETXmpThAx6IvUzczYNR,0.646,0.798,-5.283,0.0767,0.000305,9.84e-05,0.0922,113.959,0.821,0.9984,Excited
Fighting Myself,Linkin Park,2ipYQ6pcabz1NovVrr9LKH,0.626,0.909,-4.419,0.131,0.00205,5.19e-06,0.29,140.027,0.737,-0.9887,Excited
The Way You Used To Do,Queens of the Stone Age,52LL3IFB8N3PaJmoZ8Xii1,0.482,0.843,-5.909,0.288,0.0103,0.103,0.362,97.907,0.433,0.9959,Excited
Parasite Eve,Bring Me The Horizon,36xBFaVGjqm7le8CTHytUj,0.589,0.797,-5.464,0.15,0.0289,4.35e-06,0.383,102.489,0.232,-0.9899,Excited
People of the Sun,Rage Against The Machine,3QjQp2bfAvLTCSi8Zhzqis,0.53,0.871,-6.361,0.302,0.00407,0.0207,0.272,93.046,0.706,-0.8979,Excited
Don't Matter,Kings of Leon,48Jhybk2ZpPrnFb3oXdh6Z,0.412,0.88,-5.122,0.0368,1.13e-05,0.00211,0.282,154.642,0.845,-0.8281,Excited
Freeze Me,Death From Above 1979,1RsZPDpSkbvRFru52KAkZG,0.512,0.724,-5.912,0.0313,0.000826,0.000155,0.237,130.033,0.533,0.8688,Excited
OWN MY MIND,Måneskin,71tM20RVoYqUUs9EDOso2v,0.684,0.759,-4.78,0.0259,0.000902,0.000179,0.0486,114.014,0.687,0.992,Excited
Feel Invincible,Skillet,0i8JFpqe9cKwnrcvoNgl1L,0.603,0.886,-3.777,0.0837,0.00045,0.0,0.26,126.025,0.395,0.9987,Excited
Lonely Boy,The Black Keys,5G1sTBGbZT5o4PNRc75RKI,0.356,0.872,-7.837,0.068,0.00417,0.00975,0.0997,166.3,0.607,0.9961,Excited
Good F**King Music,Solence,75qezFTBIjU7OkoWGeD10Z,0.507,0.723,-5.747,0.175,0.00831,0.0,0.195,142.935,0.706,0.9924,Excited
Uma Thurman,Fall Out Boy,5PUawWFG1oIS2NwEcyHaCr,0.623,0.962,-2.616,0.0895,0.103,0.000174,0.264,149.963,0.676,0.9989,Excited
Tick Tick Boom,The Hives,7xl2ZaOnKAxJyrkIQe2S43,0.564,0.834,-3.121,0.117,0.00036,4.92e-06,0.273,135.074,0.478,0.8284,Excited
CODE MISTAKE,CORPSE,39iRz0h1eZOyXzch8tKQit,0.452,0.967,-3.607,0.514,0.00108,0.0,0.203,145.231,0.313,0.8983,Excited
The Sharpest Lives,My Chemical Romance,2kMjk14RmYyYhhSbipoa9U,0.513,0.937,-3.427,0.0532,0.000111,0.000102,0.083,155.015,0.543,0.9639,Excited
Down Rodeo,Rage Against The Machine,40L8L7344pPMCjlZc19RQU,0.427,0.867,-9.077,0.128,0.00535,0.000846,0.0785,170.256,0.56,0.9824,Excited
Archangel,Amaranthe,63aGgWIoGfl3wxykzje8eJ,0.407,0.967,-7.104,0.0666,0.000316,0.00142,0.089,180.027,0.227,-0.9924,Excited
Knights of Cydonia,Muse,7ouMYWpwJ422jRcDASZB7P,0.366,0.963,-5.301,0.142,0.000273,0.0122,0.115,137.114,0.211,-0.7215,Excited
BABY SAID,Måneskin,2KReCz1L5XkGIBhDncQ5VZ,0.622,0.715,-4.04,0.0323,0.000982,0.0,0.0796,131.012,0.607,0.9659,Excited
The Hand That Feeds,Nine Inch Nails,5ugzDiilhy6ILKmKfhEzd7,0.587,0.99,-4.496,0.0783,0.0172,0.000668,0.104,127.992,0.486,0.997,Excited
Salute Your Solution,The Raconteurs,4I3573QbRpER4HPzyFSFJa,0.266,0.946,-2.855,0.171,0.00781,2.73e-06,0.26,168.465,0.498,0.9959,Excited
Born For Greatness,Papa Roach,5NFXaR31k0gmII07w6OJIt,0.515,0.871,-4.812,0.0674,0.0539,0.0,0.056,134.015,0.289,-0.9969,Excited
Fever,The Black Keys,3Hx7RXqCS7Kzjy2ot2q1Gk,0.609,0.674,-6.506,0.0355,0.00378,0.000302,0.129,127.541,0.743,-0.9696,Excited
All Eyes on You,Smash Into Pieces,5D29PI3g8UmTHLnjX7e3CQ,0.591,0.72,-6.181,0.0374,0.0482,5.14e-06,0.117,90.035,0.259,-0.9137,Excited
Lights Out,Royal Blood,1060gzllf4b0UETAXisR5l,0.501,0.824,-7.25,0.0413,0.000127,0.000311,0.0922,89.972,0.57,-0.1295,Excited
Spaceman (feat. FiNCH),Electric Callboy,2zNZ81rcbDUvOmKo0borJr,0.508,0.891,-7.492,0.0539,0.000381,0.0,0.403,79.984,0.572,-0.9887,Excited
Love From The Other Side,Fall Out Boy,2W0ML0bVXNew4Jmc40Rpzj,0.418,0.895,-5.626,0.0966,0.000965,0.000475,0.302,157.803,0.218,0.9984,Excited
Bounce,System Of A Down,6dr2T6DRymdT1jfSUxDgut,0.46,0.977,-3.853,0.0394,0.000245,0.201,0.283,92.666,0.89,0.9173,Excited
American Idiot,Green Day,6nTiIhLmQ3FWhvrGafw2zj,0.38,0.988,-2.042,0.0639,2.64e-05,7.86e-05,0.368,186.113,0.769,-0.9413,Excited
Houdini,Dua Lipa,4OMJGnvZfDvsePyCwRGO7X,0.744,0.789,-4.876,0.059,0.0036,0.00144,0.0947,116.985,0.866,0.965,Excited
