name,artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,sentiment,mood
traitor,Olivia Rodrigo,5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,-7.885,0.0338,0.691,0.0,0.12,100.607,0.0849,-0.9531,Sad
Be Alright,Dean Lewis,5qrSlOut2rNAWv3ubArkNy,0.551,0.537,-7.595,0.034,0.705,0.0,0.0802,126.421,0.493,0.9938,Sad
listen before i go,Billie Eilish,0tMSssfxAL2oV8Vri0mFHE,0.319,0.0561,-23.023,0.045,0.935,0.00384,0.388,79.764,0.082,0.9487,Sad
Lights Are On,Tom Rosenthal,4IhTXiZLKATmwhMZIb1GQN,0.44,0.04,-16.887,0.0322,0.981,0.465,0.111,135.965,0.249,-0.9987,Sad
All I Want,Kodaline,0NlGoUyOJSuSHmngoibVAs,0.188,0.411,-9.733,0.0484,0.174,0.153,0.0843,187.376,0.159,0.9942,Sad
This Town,Niall Horan,0qvzXomUDJVaUboy2wMfiS,0.677,0.401,-8.467,0.0308,0.712,0.0,0.116,111.825,0.195,0.9337,Sad
drunk text,Henry Moodie,0KpWiHVmIFDTvai20likX4,0.382,0.401,-8.955,0.0851,0.286,0.0,0.0851,185.636,0.145,0.9909,Sad
Romantic Homicide,d4vd,1xK59OXxi2TAAAbmZK0kBL,0.571,0.544,-10.613,0.0299,0.453,0.00805,0.322,132.052,0.216,-0.9308,Sad
Dueles,Jesse & Joy,1iRvhKiXRElIH2Uf4gd95P,0.531,0.834,-3.944,0.052,0.277,0.0,0.131,142.026,0.526,-0.9287,Sad
I Bet on Losing Dogs,Mitski,2Co0IjcLTSHMtodwD4gzfg,0.398,0.493,-9.561,0.0303,0.00347,0.000157,0.106,82.048,0.412,-0.9757,Sad
Abrazado a Ti,Kevin Kaarl,455RH9fblZ8Onelsd9D7K7,0.803,0.347,-9.671,0.0319,0.282,0.0,0.109,105.033,0.346,-0.6486,Sad
drivers license,Olivia Rodrigo,5wANPM4fQCJwkGd4rN57mH,0.561,0.431,-8.81,0.0578,0.768,1.42e-05,0.106,143.875,0.137,0.7646,Sad
How Do I Say Goodbye,Dean Lewis,1aOl53hkZGHkl2Snhr7opL,0.4,0.641,-6.303,0.0674,0.214,0.0,0.0656,81.552,0.393,-0.9504,Sad
Apocalypse,Cigarettes After Sex,0yc6Gst2xkRu0eMLeRMGCX,0.37,0.467,-9.013,0.0273,0.0205,0.572,0.109,94.485,0.182,-0.1285,Sad
