name,artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Blinding Lights,The Weeknd,0sf12qNH5qcw8qpgymFOqD,0.513,0.796,-4.075,0.0629,0.00147,0.000209,0.0938,0.345,171.017
The Box,Roddy Ricch,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,-6.687,0.0559,0.104,0.0,0.79,0.642,116.971
positions,Ariana Grande,7igeByaBM0MgGsgXtNxDJ7,0.736,0.802,-4.759,0.0864,0.468,0.0,0.094,0.675,144.005
cardigan,Taylor Swift,4LEK9rD7TWIG4FCL1s27XC,0.613,0.581,-8.588,0.0424,0.537,0.000345,0.25,0.551,130.033
Life Is Good (feat. Drake),Future,5yY9lUy8nbvjM1Uyo1Uqoc,0.676,0.609,-5.831,0.481,0.0706,0.0,0.152,0.508,142.037
ROCKSTAR (feat. Roddy Ricch),DaBaby,7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,-7.956,0.164,0.247,0.0,0.101,0.497,89.977
No Idea,Don Toliver,7AzlLxHn24DxjgQX73F9fU,0.652,0.631,-5.718,0.0893,0.524,0.000579,0.165,0.35,127.998
Say So,Doja Cat,3Dv1eDb0MEgF93GpLXlucZ,0.787,0.673,-4.583,0.159,0.264,3.35e-06,0.0904,0.779,110.962
ROXANNE,Arizona Zervas,696DnlkuDOXcMAnKlTgXXK,0.621,0.601,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735
death bed (coffee for your head),Powfu,7eJMfftS33KTjuF7lTsMCx,0.726,0.431,-8.765,0.135,0.731,0.0,0.696,0.348,144.026
Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39
Dynamite,BTS,0v1x6rN6JHRapa03JElljE,0.746,0.765,-4.41,0.0993,0.0112,0.0,0.0936,0.737,114.044
Sunday Best,Surfaces,1Cv1YLb4q0RzL6pybtaMLo,0.878,0.525,-6.832,0.0578,0.183,0.0,0.0714,0.694,112.022
Blueberry Faygo,Lil Mosey,22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0.0,0.132,0.349,99.034
Falling,Trevor Daniel,2rRJrJEo19S2J82BDsQ3F7,0.784,0.43,-8.756,0.0364,0.123,0.0,0.0887,0.236,127.087
WAP (feat. Megan Thee Stallion),Cardi B,4Oun2ylbjFKMPTiaSbbCih,0.935,0.454,-7.509,0.375,0.0194,0.0,0.0824,0.357,133.073
What You Know Bout Love,Pop Smoke,1tkg4EHVoqnhR6iFEXb60y,0.709,0.548,-8.493,0.353,0.65,1.59e-06,0.133,0.543,83.995
Stuck with U (with Justin Bieber),Ariana Grande,4HBZA5flZLE435QTztThqH,0.597,0.45,-6.658,0.0418,0.223,0.0,0.382,0.537,178.765
everything i wanted,Billie Eilish,3ZCTVFBt2Brf31RLEnCkWJ,0.704,0.225,-14.454,0.0994,0.902,0.657,0.106,0.243,120.006
Memories,Maroon 5,2b8fOow8UzyDFAE27YhOZM,0.764,0.32,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019
august,Taylor Swift,3hUxzQpSfdDqwM3ZTFQY0K,0.532,0.623,-9.208,0.0331,0.538,7.28e-05,0.0925,0.403,89.937
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,2DQNYMRjisN3KAPj1bEwOI,0.8,0.658,-6.142,0.079,0.25,0.0,0.111,0.462,140.042
Toosie Slide,Drake,127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15e-06,0.114,0.837,81.618
Savage Remix (feat. Beyoncé),Megan Thee Stallion,5v4GgrXPMghOnBBLmveLac,0.822,0.743,-4.772,0.28,0.016,0.0,0.127,0.636,84.459
DÁKITI,Bad Bunny,47EiUVwUp4C9fGccaPuUCS,0.731,0.573,-10.059,0.0544,0.401,5.22e-05,0.113,0.145,109.928
Rain On Me (with Ariana Grande),Lady Gaga,24ySl2hOPGCDcxBxFIqWBu,0.672,0.855,-3.764,0.0397,0.021,0.0,0.323,0.646,123.056
Yummy,Justin Bieber,41L3O37CECZt3N7ziG2z7l,0.687,0.514,-6.612,0.0897,0.366,0.0,0.116,0.494,145.921
Godzilla (feat. Juice WRLD),Eminem,7FIWs0pqAYbP91WWM0vlTQ,0.808,0.745,-5.26,0.342,0.145,0.0,0.292,0.829,165.995
Mood (feat. iann dior),24kGoldn,3tjFYV6RSFtuktYl3ZtYcq,0.7,0.722,-3.558,0.0369,0.221,0.0,0.272,0.756,90.989
motive (with Doja Cat),Ariana Grande,5GkQIP5mWPi4KZLLXeuFTT,0.789,0.742,-5.664,0.0652,0.0681,0.0,0.166,0.661,116.965
Heather,Conan Gray,4xqrdfXkTW4T0RauPLv3WA,0.357,0.425,-7.301,0.0333,0.584,0.0,0.322,0.27,102.078
Before You Go,Lewis Capaldi,2gMXnyrvIjhVBUZwvLZDMP,0.459,0.575,-4.858,0.0573,0.604,0.0,0.0885,0.183,111.881
you broke me first,Tate McRae,45bE4HXI0AwGZXfZtMp8JR,0.667,0.373,-9.389,0.05,0.785,0.0,0.0906,0.0823,124.148
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,0PvFJmanyNQMseIFrU708S,0.823,0.586,-6.606,0.2,0.114,0.0,0.193,0.347,125.971
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,2Z8yfpFX0ZMavHkcIeHiO1,0.652,0.383,-7.076,0.0516,0.0676,0.0,0.0828,0.549,145.765
If the World Was Ending (feat. Julia Michaels),JP Saxe,2kJwzbxV2ppxnQoYw4GLBZ,0.464,0.473,-10.086,0.129,0.866,0.0,0.109,0.604,75.801
